mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	slur	Ottava:8va
1	0	0	0	0.0	0	1/2	Dynamic	3/4	1	1	0				p			
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4	1/4	1	0		ornamentShortTrill	0	
2	1	1	1	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	1			0	
2	1	7/4	7/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	2			0	
2	1	2	2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	3		articStaccatoBelow		
2	1	3	3	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	4		articStaccatoBelow		
2	1	1	1	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	5				
2	1	2	2	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	6				
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	7				
3	2	4	4	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	8			1	
3	2	9/2	9/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	9			1	
3	2	5	5	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	10			1	
3	2	11/2	11/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	11			1	
3	2	6	6	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	12			1	
3	2	13/2	13/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	13				
3	2	4	4	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	14				
3	2	4	4	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	15				
3	2	5	5	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	16				
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	17				
4	3	7	7	0.75	0	0	Chord	3/4	1	2	3/16	1/8	3/2	18			2	
4	3	31/4	31/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	19			2	
4	3	8	8	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	20		articStaccatoAbove		
4	3	9	9	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	21		articStaccatoAbove		
4	3	7	7	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	22				
4	3	8	8	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	23				
4	3	9	9	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	24				
5	4	10	10	0.75	0	0	Chord	3/4	1	2	3/16	1/8	3/2	25			3	
5	4	43/4	43/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	26			3	
5	4	11	11	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	27		articStaccatoAbove		
5	4	12	12	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	28		articStaccatoAbove		
5	4	10	10	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	29				
5	4	11	11	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	30				
5	4	12	12	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	31				
6	5	13	13	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	32			4	
6	5	55/4	55/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	33			4	
6	5	14	14	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	34		articStaccatoAbove		
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	35		articStaccatoAbove		
6	5	13	13	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	36				
6	5	14	14	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	37				
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	38				
6	5	13	13	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	39				
6	5	14	14	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	40				
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	41				
7	6	16	16	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	42			5	
7	6	67/4	67/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	43			5	
7	6	17	17	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	44			5	
7	6	35/2	35/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	45			5	
7	6	18	18	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	46			5	
7	6	37/2	37/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	47				
7	6	16	16	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	48				
7	6	17	17	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	49				
7	6	35/2	35/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	50				
7	6	18	18	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	51				
7	6	37/2	37/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	52				
7	6	16	16	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	53				
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	54				
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	55				
8	7	19	19	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	56			6	
8	7	39/2	39/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	57			6	
8	7	20	20	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	58			6	
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	59			6	
8	7	21	21	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	60		articAccentBelow	6	
8	7	87/4	87/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	61				
8	7	19	19	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	62				
8	7	20	20	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	63				
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	64				
9	8	22	22	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	65				
9	8	22	22	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	66				
10	8	24	24	0.0	0	1/2	Dynamic	3/4	1	1	0				p			
10	8	24	24	1.0	0	1/2	Chord	3/4	1	1	1/4	1/4	1	67				
11	9	25	25	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	68			7	
11	9	103/4	103/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	69			7	
11	9	26	26	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	70		articStaccatoAbove		
11	9	27	27	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	71		articAccentAbove		
11	9	25	25	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	72				
11	9	26	26	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	73				
11	9	27	27	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	74				
11	9	25	25	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	75				
11	9	26	26	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	76				
11	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	77				
12	10	28	28	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	78			8	
12	10	57/2	57/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	79			8	
12	10	29	29	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	80			8	
12	10	59/2	59/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	81			8	
12	10	30	30	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	82		articAccentAbove	8	
12	10	61/2	61/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	83				
12	10	28	28	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	84				
12	10	28	28	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	85				
12	10	29	29	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	86				
12	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	87				
13	11	31	31	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	88			9	
13	11	127/4	127/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	89			9	
13	11	32	32	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	90		articStaccatoAbove		
13	11	33	33	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	91				
13	11	31	31	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	92				
13	11	32	32	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	93				
13	11	33	33	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	94				
13	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	95				
13	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	96				
13	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	97				
14	12	34	34	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	98			10	
14	12	69/2	69/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	99			10	
14	12	35	35	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	100			10	
14	12	71/2	71/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	101			10	
14	12	36	36	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	102			10	
14	12	73/2	73/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	103				
14	12	34	34	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	104				
14	12	34	34	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	105				
14	12	35	35	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	106				
14	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	107				
15	13	37	37	0.0	0	0	Dynamic	3/4	1	1	0				f			
15	13	37	37	0.0	0	0	Spanner	3/4	1	1	0							0
15	13	37	37	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	108			11	0
15	13	75/2	75/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	109			11	0
15	13	38	38	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	110		articStaccatoAbove		0
15	13	39	39	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	111		articAccentAbove	12	0
15	13	37	37	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	112				
15	13	38	38	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	113				
15	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	114				
16	14	40	40	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	115			13	0
16	14	81/2	81/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	116			13	0
16	14	41	41	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	117			13	0
16	14	83/2	83/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	118			13	0
16	14	42	42	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	119		articAccentAbove	13	0
16	14	85/2	85/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	120				0
16	14	40	40	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	121				0
16	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	122				
16	14	41	41	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	123				
16	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	124				
17	15	43	43	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	125			14	0
17	15	87/2	87/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	126			14	0
17	15	44	44	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	127				0
17	15	45	45	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	128		articAccentAbove	15	0
17	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	129				
17	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	130				
17	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	131				
18	16	46	46	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	132				0
18	16	48	48	0.0	1/2	1/2	Spanner	3/4	1	1	0							
18	16	46	46	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	133				
