mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	1.0	0	1/2	3/4	2	1	Ab.I{	Ab	I		I	I						{	M	0	0	0, 4, 1		0	0
2	1	1	1	3.0	0	0	3/4	2	1	ii6(2)	Ab	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
3	2	4	4	3.0	0	0	3/4	2	1	ii6	Ab	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	3	7	7	3.0	0	0	3/4	2	1	V(6v5)	Ab	I		V(6v5)	V			6v5				M	0	0	1, 5, 4		1	1
5	4	10	10	3.0	0	0	3/4	2	1	V(64)	Ab	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
6	5	13	13	1.0	0	0	3/4	2	1	V7(4)	Ab	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
6	5	14	14	2.0	1/4	1/4	3/4	2	1	V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	16	16	3.0	0	0	3/4	2	1	V(64)	Ab	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
8	7	19	19	3.0	0	0	3/4	2	1	V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	22	22	2.0	0	0	3/4	2	1	I|PAC}	Ab	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
10	8	24	24	1.0	0	1/2	3/4	2	1	I(6){	Ab	I		I(6)	I			6			{	M	0	0	0, 4, 3		0	0
11	9	25	25	3.0	0	0	3/4	2	1	V7/ii	Ab	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
12	10	28	28	1.0	0	0	3/4	2	1	ii(b64)	Ab	I		ii(b64)	ii			b64				m	0	0	2, 1, -2		2	2
12	10	29	29	2.0	1/4	1/4	3/4	2	1	ii	Ab	I		ii	ii							m	0	0	2, -1, 3		2	2
13	11	31	31	3.0	0	0	3/4	2	1	V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
14	12	34	34	1.0	0	0	3/4	2	1	I(64)	Ab	I		I(64)	I			64				M	0	0	0, -1, 3		0	0
14	12	35	35	2.0	1/4	1/4	3/4	2	1	I	Ab	I		I	I							M	0	0	0, 4, 1		0	0
15	13	37	37	2.0	0	0	3/4	2	1	ii6(2)	Ab	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
15	13	39	39	1.0	1/2	1/2	3/4	2	1	ii6	Ab	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
16	14	40	40	2.0	0	0	3/4	2	1	V(6v5)	Ab	I		V(6v5)	V			6v5				M	0	0	1, 5, 4		1	1
16	14	42	42	1.0	1/2	1/2	3/4	2	1	V(64)	Ab	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
17	15	43	43	3.0	0	0	3/4	2	1	V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	16	46	46	2.0	0	0	3/4	2	1	I|PAC}	Ab	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
