mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	1.0	0	1/2	3/4	2	1	D.I{	D	I		I	I						{	M	0	0	0, 4, 1		0	0
2	1	1	1	3.0	0	0	3/4	2	1	V7	D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	2	4	4	3.0	0	0	3/4	2	1	#viio7/vi	D	I		#viio7/vi	#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
4	3	7	7	3.0	0	0	3/4	2	1	vi	D	I		vi	vi							m	0	0	3, 0, 4		3	3
5	4	10	10	3.0	0	0	3/4	2	1	I6	D	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	5	13	13	2.0	0	0	3/4	2	1	ii6(112)	D	I		ii6(112)	ii		6	112				m	0	0	-1, 3, 4	1	2	-1
6	5	15	15	1.0	1/2	1/2	3/4	2	1	ii6(11#72)	D	I		ii6(11#72)	ii		6	11#72				m	0	0	-1, 3, 4, 7	1	2	-1
7	6	16	16	3.0	0	0	3/4	2	1	ii6	D	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
8	7	19	19	2.0	0	0	3/4	2	1	V7	D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	7	21	21	1.0	1/2	1/2	3/4	2	1	V7(+9)	D	I		V7(+9)	V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
9	8	22	22	3.0	0	0	3/4	2	1	I|IAC}	D	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
10	8	24	24	0.0	0	1/2	3/4	2	1	{	D	I									{		0	0				
11	9	25	25	2.0	0	0	3/4	2	1	V65/IV	D	I		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
11	9	27	27	1.0	1/2	1/2	3/4	2	1	V65(#1)/IV	D	I		V65(#1)/IV	V		65	#1	IV			Mm7	0	0	4, 1, -2, 0		0	4
12	10	28	28	1.0	0	0	3/4	2	1	IV(#54)	D	I		IV(#54)	IV			#54				M	0	0	-1, 5, 7		-1	-1
12	10	29	29	2.0	1/4	1/4	3/4	2	1	IV(64)	D	I		IV(64)	IV			64				M	0	0	-1, 5, 2		-1	-1
13	11	31	31	2.0	0	0	3/4	2	1	V65/V	D	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
13	11	33	33	1.0	1/2	1/2	3/4	2	1	V65(#1)/V	D	I		V65(#1)/V	V		65	#1	V			Mm7	0	0	6, 3, 0, 2		2	6
14	12	34	34	1.0	0	0	3/4	2	1	V(#54)	D	I		V(#54)	V			#54				M	0	0	1, 0, 9		1	1
14	12	35	35	2.0	1/4	1/4	3/4	2	1	V(64)	D	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
15	13	37	37	3.0	0	0	3/4	2	1	V7	D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	14	40	40	3.0	0	0	3/4	2	1	I	D	I		I	I							M	0	0	0, 4, 1		0	0
17	15	43	43	3.0	0	0	3/4	2	1	V7	D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	16	46	46	2.0	0	0	3/4	2	1	I|PAC}	D	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
