mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0	0	1/2	3/4	1	1	1/4	1/4	1		0	72	C5	5	0
1	0	0	0	1.0	0	1/2	3/4	1	1	1/4	1/4	1		0	84	C6	6	0
2	1	1	1	1.0	0	0	3/4	2	1	1/4	1/4	1		-5	49	Db3	3	4
2	1	1	1	1.0	0	0	3/4	1	1	1/4	1/4	1		0	72	C5	5	1
2	1	1	1	1.0	0	0	3/4	1	1	1/4	1/4	1		0	84	C6	6	1
2	1	2	2	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-5	61	Db4	4	5
2	1	2	2	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	65	F4	4	5
2	1	2	2	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	77	F5	5	2
2	1	3	3	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-5	61	Db4	4	6
2	1	3	3	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	65	F4	4	6
2	1	3	3	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		-1	77	F5	5	3
3	2	4	4	1.0	0	0	3/4	2	1	1/4	1/4	1		-5	49	Db3	3	11
3	2	4	4	1.5	0	0	3/4	1	1	3/8	1/4	3/2		-1	77	F5	5	7
3	2	5	5	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-5	61	Db4	4	12
3	2	5	5	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	65	F4	4	12
3	2	11/2	11/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	8
3	2	6	6	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-5	61	Db4	4	13
3	2	6	6	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	65	F4	4	13
